iter	RMSE
0	1.121053971
1	1.113334809
2	1.104050168
3	1.096251783
4	1.08943484
5	1.082368957
6	1.077347663
7	1.070707727
8	1.064679174
9	1.059422903
10	1.053983715
11	1.048234678
12	1.04310066
13	1.039290018
14	1.035368633
15	1.03069398
16	1.026356172
17	1.022782096
18	1.019126953
19	1.015440233
20	1.01179233
21	1.007826504
22	1.004990755
23	1.001936835
24	0.9992452639
25	0.9969240277
26	0.9934594293
27	0.9904475753
28	0.987701425
29	0.9847043876
30	0.9820176425
31	0.9798358203
32	0.9774770639
33	0.9741179325
34	0.9720096313
35	0.9690985701
36	0.9664935753
37	0.9636843965
38	0.9619763996
39	0.9595292086
40	0.9569489791
41	0.955407233
42	0.9532803161
43	0.9515296642
44	0.9501310778
45	0.948475948
46	0.9457450286
47	0.9445041895
48	0.9423868901
49	0.9410125838
50	0.9390005874
51	0.9367248455
52	0.9351464383
53	0.9339092352
54	0.9317738389
55	0.9300308391
56	0.9286134158
57	0.9274045986
58	0.9257103646
59	0.923199061
60	0.921472104
61	0.9198757543
62	0.9185822762
63	0.9170495118
64	0.9152145589
65	0.914288884
66	0.912768743
67	0.9110294608
68	0.9096359291
69	0.9081169303
70	0.9068274803
71	0.9057442404
72	0.9044111364
73	0.9028998087
74	0.901607866
75	0.8994386539
76	0.8983538099
77	0.8969382834
78	0.8956986761
79	0.8943227339
80	0.8923964429
81	0.8908517233
82	0.8896029703
83	0.8880509377
84	0.8866950878
85	0.8850590759
86	0.8837401227
87	0.8826954558
88	0.8817204108
89	0.8807675737
90	0.8800797263
91	0.8790156068
92	0.8779466572
93	0.8766530024
94	0.8758463165
95	0.8748756485
96	0.8737937788
97	0.8731272915
98	0.8714359542
99	0.8702381684
100	0.8692693842
101	0.8685196411
102	0.8670040054
103	0.866260838
104	0.8649677747
105	0.8637688022
106	0.8630114019
107	0.8625560126
108	0.8616667412
109	0.8606651499
110	0.8600999918
111	0.8583180907
112	0.8578107538
113	0.8569467294
114	0.8565414213
115	0.8552553581
116	0.8542884764
117	0.8531939034
118	0.8524560269
119	0.8509255114
120	0.8503273313
121	0.8489704794
122	0.8482552289
123	0.8473867121
124	0.8467317882
125	0.845580861
126	0.8446144952
