iter	Passed	Remaining
0	1	901
1	3	882
2	5	900
3	7	916
4	9	923
5	11	921
6	12	913
7	14	903
8	16	897
9	18	896
10	20	910
11	22	919
12	24	922
13	26	918
14	28	916
15	30	913
16	31	908
17	33	906
18	35	906
19	38	915
20	40	916
21	42	913
22	43	910
23	45	906
24	47	902
25	49	898
26	51	896
27	53	896
28	55	897
29	57	895
30	59	893
31	60	891
32	62	889
33	64	887
34	66	884
35	68	883
36	70	883
37	72	881
38	74	878
39	76	875
40	78	873
41	79	870
42	81	868
43	83	865
44	85	865
45	87	862
46	89	860
47	91	858
48	92	855
49	94	853
50	96	850
51	98	847
52	100	846
53	102	845
54	104	844
55	106	843
56	108	840
57	109	837
58	111	836
59	113	833
60	115	831
61	117	829
62	119	828
63	121	826
64	123	823
65	124	820
66	126	817
67	128	815
68	129	811
69	131	809
70	133	809
71	136	810
72	139	814
73	142	817
74	144	820
75	147	820
76	149	821
77	152	823
78	154	822
79	156	822
80	158	821
81	160	820
82	163	819
83	166	822
84	168	824
85	170	822
86	172	821
87	174	818
88	176	817
89	178	815
90	181	814
91	183	812
92	185	810
93	187	808
94	189	807
95	191	806
96	193	804
97	195	802
98	198	802
99	200	800
100	202	798
101	204	797
102	206	796
103	208	795
104	211	794
105	213	795
106	216	795
107	218	793
108	220	791
109	222	790
110	224	788
111	227	786
112	229	787
113	232	785
114	234	783
115	236	781
116	238	779
117	239	776
118	241	774
119	244	772
120	246	770
121	247	767
122	249	765
123	251	762
124	253	759
125	254	756
126	256	753
127	258	751
128	260	749
129	262	746
130	264	743
131	265	741
132	267	738
133	269	736
134	271	733
135	273	730
136	275	728
137	276	726
138	278	723
139	280	721
140	282	718
141	283	715
142	285	713
143	287	710
144	289	708
145	291	706
146	293	704
147	294	701
148	296	698
149	298	696
150	300	694
151	302	691
152	303	689
153	305	686
154	307	685
155	309	683
156	311	681
157	313	678
158	315	676
159	317	673
160	318	671
161	320	669
162	322	666
163	324	665
164	326	663
165	328	660
166	330	658
167	331	655
168	333	653
169	335	650
170	337	648
171	339	647
172	341	645
173	343	643
174	345	641
175	347	639
176	349	636
177	350	634
178	352	632
179	354	630
180	356	628
181	358	626
182	360	624
183	362	622
184	364	620
185	366	618
186	368	616
187	370	614
188	373	614
189	375	612
190	377	609
191	378	607
192	380	605
193	382	603
194	384	601
195	386	600
196	389	598
197	391	597
198	393	595
199	396	594
200	397	591
201	399	589
202	401	587
203	404	586
204	405	584
205	407	581
206	409	579
207	411	577
208	413	575
209	415	573
210	417	571
211	419	569
212	421	568
213	424	566
214	426	564
215	428	562
